model_name,fold_number,accuracy,f1_score_macro_avg
GNN FROM Full Text PROCESSED EMBEDDINGS,1,0.8960,0.7735
GNN FROM Full Text PROCESSED EMBEDDINGS,2,0.9864,0.9141
GNN FROM Full Text PROCESSED EMBEDDINGS,3,0.9871,0.9087
GNN FROM Full Text PROCESSED EMBEDDINGS,4,0.9975,0.9782
GNN FROM Full Text PROCESSED EMBEDDINGS,5,0.9932,0.9617
GNN FROM Full Text PROCESSED EMBEDDINGS,6,0.9924,0.9231
GNN FROM Full Text PROCESSED EMBEDDINGS,7,0.9931,0.9411
GNN FROM Full Text PROCESSED EMBEDDINGS,8,0.9981,0.6660
GNN FROM Full Text PROCESSED EMBEDDINGS,9,0.9981,0.9518
GNN FROM Full Text PROCESSED EMBEDDINGS,10,0.9843,0.9057
